CONFIG_ID,NUMBER_OF_PRODUCT_SOLD,GMII,NUMBER_OF_VISIT
80041351-C,390,-0.062419806426101,353
80014459-C,940,0.23445782758271103,2525
80027812-C,81,0.136183651771136,190
80013366-C,591,0.061431969830105994,987
40100238-C,165,0.25537317026878303,238
80027184-C,141,0.09788058746455601,345
80009778-C,105,0.264110604936662,121
80011182-C,128,0.20475367023782998,294
80045399-C,90,-0.172218133295586,256
30102824,1603,0.170491242122147,1991
80016302-C,53,0.058415725364644996,197
80008788-C,202,0.14858938622554,651
30103098,1847,0.189792026104771,3714
80044095-C,234,0.038304947130128,2431
80041833-C,35933,0.11387551636511098,76356
80046490-C,100,0.08481361564832901,561
80010386-C,1173,0.12770783222794801,3636
80003214-C,548,0.05600607489885,608
80010912-C,13752,0.092467037266127,14705
80013901-C,1536,-0.00402788977393,945
80024237-C,170,0.306719394503097,821
50002701,812,0.16862429187518202,1985
80035400-C,214,-0.0074152607828939995,525
80024520-C,289,0.119384187206074,831
80015311-C,195,0.12321113527925501,438
80032788-C,64,0.174017964918897,374
80014975-C,785,0.24818397149637803,1674
80011538-C,355,0.16284923974353901,806
80014756-C,100,0.18465883227187302,342
80044066-C,1043,0.283348990515854,3131
80042342-C,711,0.219883176170864,2057
80025265-C,438,0.103414800005345,1215
30102796,824,0.178100066100409,1880
80044132-C,361,-0.006866161441016,1230
80012133-C,779,0.19631985921857997,1919
80024169-C,4415,0.233216807734417,4587
80011025-C,317,0.22842849519891698,804
80034506-C,186,0.16584217788685998,359
30103993,516,0.21712754803296697,380
80012067-C,33,0.11221981081629302,151
80022885-C,228,0.241501078180388,986
80044771-C,95,0.212873030452843,748
80037410-C,22,0.257392612789879,463
80008298-C,6799,0.009653774052816,1098
80011171-C,1052,0.198079407066754,2207
80011597-C,15753,0.17040839710804398,26337
80007814-C,459,-0.30274892911305,465
50800050,304,0.149823917677793,268
80031946-C,1391,0.16456250553941798,4545
30103493,506,0.23972015061222798,532
80038408-C,717,0.108642666475165,2071
80044720-C,155,-0.114786379333617,815
80043505-C,61,0.18652281311077698,93
80046288-C,27,0.019222884649816002,167
50003304,108,0.089004011570174,409
80007371-C,613,0.178588926486904,2249
80011532-C,770,0.16637544561879097,1051
80010129-C,142,0.23478983957476002,428
30103121,11315,0.17313260810205602,15604
80030598-C,147,0.19874837888409197,1150
40003029-C,102,0.248656615397776,126
80008095-C,4611,0.10755672802791301,9514
80010284-C,249,0.055961131368540994,271
30103318,32786,0.129777062625695,51609
80003242-C,100,0.216983692484667,160
80031086-C,82,0.265718064999751,145
80028784-C,3850,0.005830600290425001,11000
